"accepted_species","I1.1/1"
"t34","0"
"t35","0"
"t25","1"
"t26","1"
"t48","1"
"t49","1"
"t36","1"
"t55","1"
"t56","1"
"t65","1"
"t66","1"
"t2","0"
"t1","1"
"t57","1"
"t58","1"
"t30","1"
"t95","1"
"t96","1"
"t24","1"
"t73","0"
"t74","0"
"t27","0"
"t93","0"
"t94","0"
"t67","0"
"t83","0"
"t84","0"
"t7","1"
"t75","1"
"t76","0"
"t42","1"
"t43","1"
"t9","1"
"t87","1"
"t88","1"
"t39","0"
"t8","1"
"t70","1"
"t6","1"
"t89","1"
"t90","1"
"t91","0"
"t92","0"
"t63","1"
"t64","1"
"t31","1"
"t21","1"
"t20","1"
"t51","1"
"t52","1"
"t3","1"
"t13","1"
"t14","1"
"t18","1"
"t19","1"
"t28","1"
"t29","1"
"t17","1"
"t81","1"
"t82","1"
"t79","1"
"t80","1"
"t97","1"
"t98","1"
"t72","1"
"t77","1"
"t78","1"
"t12","1"
"t85","0"
"t86","0"
"t10","0"
"t45","0"
"t99","1"
"t100","1"
"t5","1"
"t71","0"
"t40","0"
"t41","1"
"t37","0"
"t15","0"
"t4","0"
"t32","1"
"t33","0"
"t61","1"
"t62","1"
"t22","0"
"t16","0"
"t46","0"
"t47","0"
"t38","0"
"t23","0"
"t68","0"
"t69","0"
"t11","1"
"t59","1"
"t60","1"
"t50","1"
"t44","1"
"t53","1"
"t54","1"
